DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1011.529,561.15,-4609.60408,0.99456
1011.47358,561.25,-4209.20416,0.99473
1011.71346,561.35,-3745.40759,0.99403
1011.65813,561.45,-3284.94768,0.99419
1011.4265,561.55,-2824.48777,0.99488
1011.19653,561.65,-2384.04786,0.99556
1010.50908,561.76,-1944.44211,0.99763
1009.35392,561.87,-1525.69053,1.00111
1008.39367,561.98,-1136.96894,1.00397
1007.49467,562.09,-758.25735,1.0067
1006.421,562.2,-389.55576,1.00995
1005.39192,562.32,-40.87416,1.01306
1003.75737,562.44,287.78744,1.01802
1002.23979,562.56,596.42905,1.02264
1001.18467,562.68,885.05066,1.02583
1000.0515,562.81,1163.66227,1.02929
999.44379,562.93,1413.07805,1.03115
999.21288,563.05,1653.318,1.03187
998.45588,563.17,1893.55795,1.03421
998.11717,563.29,2143.8079,1.03526
997.51237,563.42,2414.07785,1.03713
997.07912,563.54,2694.35779,1.03848
996.95263,563.66,2974.63774,1.03888
996.84361,563.78,3591.25362,1.03922
996.22136,563.9,4311.97347,1.04117
995.82755,564.01,5019.34666,1.0424
995.4014,564.12,5625.50765,1.04373
994.84666,564.23,6134.01555,1.04547
994.65438,564.34,7128.34202,1.04607
994.2909,564.45,8166.04515,1.04721
994.35594,564.55,9177.05494,1.047
994.11924,564.65,10208.08474,1.04775
994.0112,564.75,11259.13453,1.04809
993.95283,564.85,12003.87838,1.04827
993.92183,564.95,12664.53825,1.04837
993.96518,565.05,13348.55478,1.04823
993.86622,565.15,14163.8135,1.04854
993.85897,565.25,15096.74532,1.04857
993.42191,565.35,15543.85856,1.04996
993.41013,565.45,15957.60514,1.04999
993.0781,565.55,16418.06505,1.05104
993.11697,565.65,16858.50496,1.05092
993.24706,565.75,17288.93488,1.05051
993.13134,565.85,17729.37479,1.05087
993.26909,565.95,18189.8347,1.05044
993.06784,566.05,18620.26461,1.05108
992.90965,566.15,19057.36786,1.05158
992.7864,566.25,19477.78777,1.05197
992.98653,566.35,19928.23768,1.05133
992.80589,566.45,20388.69759,1.0519
992.78329,566.55,20839.1475,1.05197
992.6391,566.65,21299.60741,1.05242
992.58708,566.75,21770.07732,1.05258
992.59747,566.85,22230.53722,1.05255
992.28052,566.95,23724.02893,1.05355
992.2196,567.05,25132.70865,1.05375
992.20121,567.15,26420.66172,1.05381
992.19703,567.25,27842.08144,1.05382
992.08057,567.35,28893.13123,1.0542
992.0725,567.45,30197.29097,1.05423
992.12436,567.55,31108.20078,1.05407
991.9639,567.65,32266.85805,1.05458
991.63269,567.75,33104.36122,1.05564
991.37145,567.85,34096.46324,1.05647
991.32532,567.95,34124.49124,1.05662
991.32963,568.05,33940.47999,1.0566
991.47369,568.15,33696.90338,1.05614
